SampleRTTs	ExpAvgs		AriAvgs
1.492		11.5615		1.492
0.704		10.20		1.10
0.758		9.02		0.98
2.141		8.16		1.27
0.743		7.24		1.17
0.785		6.43		1.10
1.389		5.80		1.14
0.721		5.16		1.09
0.685		4.60		1.05
0.778		4.13		1.02
0.845		3.72		1.00
0.757		3.35		0.98
0.701		3.02		0.96
0.713		2.73		0.94
0.814		2.49		0.94
0.686		2.26		0.92
0.786		2.08		0.91
0.778		1.92		0.90
0.746		1.77		0.90
0.753		1.64		0.89
0.782		1.54		0.88
0.674		1.43		0.87
0.695		1.34		0.87
0.832		1.27		0.86
0.767		1.21		0.86
0.771		1.15		0.86
0.757		1.11		0.85
0.715		1.06		0.85
0.743		1.02		0.85
0.75		0.98		0.84
0.687		0.95		0.84
0.745		0.92		0.83
0.784		0.90		0.83
0.748		0.88		0.83
0.738		0.87		0.83
0.74		0.85		0.83
0.714		0.83		0.82
0.731		0.82		0.82
0.725		0.81		0.82
0.814		0.81		0.82
0.784		0.81		0.82
0.747		0.80		0.81
0.822		0.80		0.81
0.77		0.80		0.81
0.785		0.80		0.81
0.732		0.79		0.81
0.706		0.78		0.81
0.757		0.78		0.81
0.853		0.78		0.81
0.791		0.79		0.81
0.763		0.78		0.81
0.809		0.79		0.81
0.82		0.79		0.81
0.779		0.79		0.81
0.672		0.77		0.81
0.696		0.76		0.80
0.803		0.77		0.80
0.783		0.77		0.80
0.699		0.76		0.80
0.681		0.75		0.80
0.738		0.75		0.80
0.742		0.75		0.80
0.737		0.75		0.80
0.733		0.75		0.80
0.762		0.75		0.79
0.7		0.74		0.79
0.781		0.75		0.79
0.762		0.75		0.79
0.685		0.74		0.79
0.694		0.73		0.79
0.797		0.74		0.79
0.751		0.74		0.79
0.711		0.74		0.79
0.76		0.74		0.79
0.764		0.74		0.79
0.755		0.75		0.79
0.778		0.75		0.79
0.739		0.75		0.79
0.808		0.76		0.79
0.787		0.76		0.79
0.746		0.76		0.79
0.758		0.76		0.79
0.746		0.76		0.79
0.807		0.76		0.79
0.695		0.75		0.78
0.696		0.75		0.78
0.752		0.75		0.78
0.696		0.74		0.78
0.757		0.74		0.78
0.735		0.74		0.78
0.736		0.74		0.78
0.697		0.74		0.78
0.743		0.74		0.78
0.629		0.72		0.78
0.76		0.73		0.78
0.801		0.74		0.78
0.741		0.74		0.78
0.77		0.74		0.78
0.748		0.74		0.78
0.7		0.74		0.78
0.809		0.75		0.78
0.805		0.75		0.78
0.731		0.75		0.78
0.734		0.75		0.78
0.686		0.74		0.78
0.788		0.75		0.78
0.76		0.75		0.78
0.869		0.76		0.78
0.683		0.75		0.78
0.773		0.76		0.78
0.791		0.76		0.78
0.694		0.75		0.77
0.825		0.76		0.78
0.673		0.75		0.77
0.71		0.75		0.77
0.788		0.75		0.77
0.825		0.76		0.77
0.717		0.75		0.77
0.742		0.75		0.77
0.808		0.76		0.77
0.949		0.78		0.78
0.729		0.78		0.77
0.718		0.77		0.77
0.727		0.76		0.77
0.757		0.76		0.77
0.723		0.76		0.77
0.803		0.76		0.77
0.655		0.75		0.77
0.72		0.75		0.77
0.716		0.74		0.77
0.741		0.74		0.77
0.688		0.74		0.77
0.723		0.73		0.77
0.728		0.73		0.77
0.746		0.73		0.77
0.763		0.74		0.77
